2635662  255 13404 1286321
2642866  256 7204 1286321
2654161  257 11295 1286321
2663400  258 9239 1286322
2673722  259 10322 1286321
2683996  260 10274 1286321
2694302  261 10306 1286321
2704577  262 10275 1286322
2721554  263 16977 1286321
2727204  264 5650 1286321
2735455  265 8251 1286321
2746232  266 10777 1286322
2756035  267 9803 1286321
2766337  268 10302 1286321
2776623  269 10286 1286321
2786972  270 10349 1286322
2797239  271 10267 1286321
2807473  272 10234 1286321
2819809  273 12336 1286321
2828062  274 8253 1286322
2838416  275 10354 1286321
2848751  276 10335 1286321
2858949  277 10198 1286321
2869236  278 10287 1286322
2879505  279 10269 1286321
2889810  280 10305 1286321
2900101  281 10291 1286321
2911986  282 11885 1286322
2920677  283 8691 1286321
2930961  284 10284 1286321
2941308  285 10347 1286321
2951624  286 10316 1286322
2961847  287 10223 1286321
2972124  288 10277 1286321
2985606  289 13482 1286321
2992710  290 7104 1286322
3006351  291 13641 1286321
3013345  292 6994 1286321
3024288  293 10943 1286321
3033889  294 9601 1286322
3044161  295 10272 1286321
3054435  296 10274 1286321
3064777  297 10342 1286321
3077871  298 13094 1286322
3085346  299 7475 1286321
3096163  300 10817 1286321
3106023  301 9860 1286321
3116217  302 10194 1286322
3126508  303 10291 1286321
3136773  304 10265 1286321
3147056  305 10283 1286321
3157332  306 10276 1286322
3169846  307 12514 1286321
3177922  308 8076 1286321
3188341  309 10419 1286321
3198505  310 10164 1286322
3208916  311 10411 1286321
3219091  312 10175 1286321
3229370  313 10279 1286321
3239656  314 10286 1286322
3249974  315 10318 1286321
3261660  316 11686 1286321
3270535  317 8875 1286321
3282128  318 11593 1286322
3291141  319 9013 1286321
3301436  320 10295 1286321
3311708  321 10272 1286321
3321983  322 10275 1286322
3335501  323 13518 1286321
3342552  324 7051 1286321
3353791  325 11239 1286321
3363141  326 9350 1286322
3373462  327 10321 1286321
3383750  328 10288 1286321
3394046  329 10296 1286321
3404328  330 10282 1286322
3414639  331 10311 1286321
3427367  332 12728 1286321
3435198  333 7831 1286321
3447896  334 12698 1286322
3455877  335 7981 1286321
3466137  336 10260 1286321
3476372  337 10235 1286321
3486667  338 10295 1286322
3496951  339 10284 1286321
3507221  340 10270 1286321
3519365  341 12144 1286321
3527809  342 8444 1286322
3538103  343 10294 1286321
3548367  344 10264 1286321
3558692  345 10325 1286321
3568962  346 10270 1286322
3579265  347 10303 1286321
3589548  348 10283 1286321
3599843  349 10295 1286321
3611388  350 11545 1286322
3620412  351 9024 1286321
3630719  352 10307 1286321
3640981  353 10262 1286321
